tiempo,es_diurno,azimut_deg,elevacion_deg,phi_newton_rad,beta_newton_rad,error_newton_deg,iter_newton,ok_newton,motivo_newton,phi_grad_rad,beta_grad_rad,error_grad_deg,iter_grad,ok_grad,motivo_grad,alpha_grad
2026-02-03T06:03:00-05:00,True,106.55430206803833,-5.853008313773966,1.6773353065854606,0.2873778332081278,0.0,1,True,norma(F) < eps_f,1.6774743004921726,0.28738250301349466,0.007641853539004517,18,True,OK,0.45
2026-02-03T06:04:00-05:00,True,106.5461584456503,-5.613391883973818,1.6729719259706681,0.28736056835688606,0.0,1,True,norma(F) < eps_f,1.673111730541633,0.2873653551376254,0.007686644389164949,18,True,OK,0.45
2026-02-03T06:05:00-05:00,True,106.53831879404757,-5.373765220911302,1.6686085621732059,0.2873432973411998,0.0,1,True,norma(F) < eps_f,1.668749182827307,0.2873482023756646,0.00773173945226095,18,True,OK,0.45
2026-02-03T06:06:00-05:00,True,106.53078248197943,-5.134128706918216,1.6642452152060578,0.28732602041940813,0.0,1,True,norma(F) < eps_f,1.6643866574218844,0.2873310450018929,0.007777141871883181,18,True,OK,0.45
2026-02-03T06:07:00-05:00,True,106.52354890518325,-4.894482723046243,1.6598818850820525,0.2873087378522805,0.0,1,True,norma(F) < eps_f,1.6600241543953134,0.2873138832933386,0.00782285500878918,18,True,OK,0.45
2026-02-03T06:08:00-05:00,True,106.51661748610377,-4.654827647745713,1.655518571788744,0.28729144990077754,0.0,1,True,norma(F) < eps_f,1.6556616737950502,0.28729671753002783,0.00786888224804904,18,True,OK,0.45
2026-02-03T06:09:00-05:00,True,106.5099876738412,-4.415163859661469,1.6511552753383167,0.28727415682587043,0.0,1,True,norma(F) < eps_f,1.651299215692294,0.2872795479887391,0.00791522690491517,18,True,OK,0.45
2026-02-03T06:10:00-05:00,True,106.50365894399792,-4.175491735874588,1.6467919957345938,0.28725685888857355,0.0,1,True,norma(F) < eps_f,1.6469367801537382,0.28726237494750007,0.007961892545958705,18,True,OK,0.45
2026-02-03T06:11:00-05:00,True,106.49763079479143,-3.9358114911618034,1.642428730045964,0.28723955634104126,0.0,1,True,norma(F) < eps_f,1.642574364307178,0.2872451986773439,0.008008882661823065,18,True,OK,0.45
2026-02-03T06:12:00-05:00,True,106.49190276226163,-3.6961238238093457,1.638065484160764,0.28722224946041736,0.0,1,True,norma(F) < eps_f,1.638211974104605,0.287228019474034,0.008056200713265108,18,True,OK,0.45
2026-02-03T06:13:00-05:00,True,106.48647439720204,-3.4564289448215,1.6337022551140505,0.2872049385037096,0.0,1,True,norma(F) < eps_f,1.6337886193606153,0.28720818434049833,0.004749261470013586,19,True,OK,0.45
2026-02-03T06:14:00-05:00,True,106.48134528019247,-3.216727228243849,1.6293390429250374,0.2871876237298143,0.0,1,True,norma(F) < eps_f,1.629425915028822,0.28719094137369394,0.004777332456120579,19,True,OK,0.45
2026-02-03T06:15:00-05:00,True,106.47651501800496,-2.9770190463062547,1.624975847595211,0.28717030540034816,0.0,1,True,norma(F) < eps_f,1.6250632310847184,0.28717369565234296,0.004805601467274496,19,True,OK,0.45
